ID, STATION,RIDES,COMMENT,WIDTH,HEIGHT
351,PLAYLAND-BEACH 98TH STREET    ,1438,,,
352,WHITLOCK AVE-WESTCHESTER AV   ,1418,,,
353,77TH STREET-4TH AVENUE        ,1415,,,
354,VAN WYCK BLVD-METROPOLITAN    ,1405,,,
355,AVENUE N-MCDONALD AVENUE      ,1387,,,
356,GASTON AVENUE-BEACH 67TH ST   ,1387,,,
357,PARK PLACE-FRANKLIN AVENUE    ,1376,,,
358,GRAHAM AVE-METROPOLITAN AVE   ,1368,,,
359,CANAL STREET-BROADWAY         ,1364,,,
360,AVENUE H-EAST 16TH STREET     ,1351,,,
361,PROSPECT AVENUE-4TH AVENUE    ,1350,,,
362,BUSHWICK AVENUE-ABERDEEN ST   ,1339,,,
363,116TH STREET-COLUMBIA         ,1323,,,
364,18TH AVE-MCDONALD AVE         ,1322,,,
365,242ND STREET & BROADWAY       ,1322,,,
366,UNION STREET-4TH AVENUE       ,1293,,,
367,BERGEN STREET                 ,1279,,,
368,WOODLAWN ROAD                 ,1279,,,
369,KINGS HIGHWAY-MCDONALD AVE    ,1273,,,
370,CANAL STREET-VARICK STREET    ,1260,,,
371,PROSPECT AVE-4TH AVE          ,1235,,,
372,155TH STREET-ST NICHOLAS AV   ,1231,,,
373,23RD STREET-6TH AVENUE        ,1229,,,
374,SUTPHIN BLVD-HILLSIDE AVE     ,1215,,,
375,YORK STREET-JAY STREET        ,1214,,,
376,CITY HALL                     ,1199,,,
377,42ND STREET & GRAND CENTRAL   ,1164,,,
378,28TH STREET-7TH AVENUE        ,1160,,,
379,HIGH ST-CADMAN PLAZA WEST     ,1154,,,
380,FLUSHING AVENUE-MARCY AVE     ,1145,,,
381,65TH STREET-BROADWAY          ,1135,,,
382,ATLANTIC AV-VAN SINDEREN AV   ,1121,,,
383,HEWES STREET-BROADWAY         ,1104,,,
384,SENECA AVENUE-PALMETTO ST     ,1085,,,
385,AVENUE P-MCDONALD AVENUE      ,1084,,,
386,SPRING STREET-LAFAYETTE ST    ,1072,,,
387,72ND STREET-CENTRAL PK WEST   ,1061,,,
388,50TH STREET-NEW UTRECHT AVE   ,1050,,,
389,AVENUE X-MCDONALD AVENUE      ,1050,,,
390,23RD STREET-6TH AVENUE        ,1040,,,
391,238TH STREET-BROADWAY         ,1019,,,
392,34TH STREET & 8TH AVENUE      ,977,,,
393,BUHRE AVE-WESTCHESTER AVE     ,974,,,
394,CYPRESS HILLS                 ,960,,,
395,138TH ST-GRAND CONCOURSE      ,957,,,
396,121ST STREET                  ,956,,,
397,SEVENTH AVENUE & WEST 53RD    ,948,,,
398,BOYD STREET-88TH STREET       ,914,,,
399,MORRIS PARK-PAULDING AVENUE   ,910,,,
400,42ND STREET/TIMES SQUARE      ,876,,,
401,RI TRAMWAY (ROOSEVELT)        ,875,,,
402,FIFTH AVENUE & 60TH STREET    ,856,,,
403,JACKSON AVENUE-VERNON BLVD    ,849,,,
404,CHRISTOPHER ST-SHERIDAN SQ    ,834,,,
405,ALABAMA AVENUE-FULTON ST      ,812,,,
406,JAY ST-METROTECH              ,791,,,
407,RECTOR STREET-CHURCH STREET   ,791,,,
408,BOWERY STREET-DELANCEY ST     ,773,,,
409,109TH STREET-LIBERTY AVENUE   ,763,,,
410,AVENUE U-MCDONALD AVENUE      ,734,,,
411,215TH STREET                  ,727,,,
412,WEST 6TH STREET-SURF AVENUE   ,718,,,
413,DYCKMAN STREET                ,705,,,
414,104TH STREET-LIBERTY AVENUE   ,683,,,
415,25TH STREET-4TH AVENUE        ,647,,,
416,HOLLAND-BEACH 90TH STREET     ,647,,,
417,EDGEMERE-BEACH 36TH STREET    ,633,,,
418,FULTON ST & BROADWAY NASSAU   ,616,,,
419,WILLETS PT BLVD-ROOSEVELT     ,615,,,
420,42ND STREET & GRAND CENTRAL   ,609,,,
421,CLARK STREET-HENRY STREET     ,607,,,
422,75TH AVENUE-QUEENS BLVD       ,602,,,
423,57TH STREET-6TH AVENUE        ,598,,,
424,51ST STREET & LEXINGTON AVE   ,592,,,
425,FRANKLIN STREET-WEST BWAY     ,590,,,
426,EAST 143RD ST-SOUTHERN BLVD   ,575,,,
427,FIFTH AVENUE                  ,508,,,
428,39TH AVENUE & 31ST STREET     ,502,,,
429,25TH STREET-4TH AVENUE        ,497,,,
430,FIFTH AVENUE & 42ND STREET    ,481,,,
431,FRANK AVENUE-BEACH 44TH ST    ,472,,,
432,BOWLING GREEN & BROADWAY      ,421,,,
433,MCDONALD AVE-22ND AVE         ,399,,,
